"position","title","artists","duration","inferred_source_style","inferred_mood","inferred_energy","inferred_tempo_band","metal_conversion_direction","lyric_theme_direction","suno_prompt"
49,"Dust On The Bottle","David Lee Murphy","03:44","Title/artist-informed creative inference: country-rock nostalgia song","Title/artist-informed creative inference: warm and knowing","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Desert hard metal with dry riff tone, warm chorus harmonies, and a vintage-sounding lead break.","Title/artist-informed creative inference: age improving hidden value and relationships; write entirely new lyrics.","Original desert hard-metal song, driving mid-tempo dry guitar tone, warm chorus harmonies, steady bass, and a vintage-colored lead break; new lyrics compare an overlooked object gaining value with a relationship deepening over time."
50,"Seminole Wind","John Anderson","03:58","Title/artist-informed creative inference: atmospheric country environmental ballad","Title/artist-informed creative inference: reverent and mournful","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: steady mid-tempo feel; no measured BPM","Atmospheric folk metal with wind textures, tom-led pulse, layered clean vocals, and a storming final section.","Title/artist-informed creative inference: ecological loss, memory of place, and responsibility; write entirely new lyrics with respectful neutral imagery.","Original atmospheric folk-metal environmental lament, steady mid-tempo tom pulse, wind textures, layered clean vocals, low guitars arriving gradually, and a storming final section; new lyrics mourn a damaged wetland through specific natural images without borrowing source language."
51,"Cadillac Ranch","Chris LeDoux","02:53","Title/artist-informed creative inference: upbeat country road rocker","Title/artist-informed creative inference: freewheeling and nostalgic","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Boogie metal with an engine-rev riff, handclap accents, and a wide highway chorus.","Title/artist-informed creative inference: roadside landmarks, motion, and mechanical nostalgia; write entirely new lyrics.","Original boogie-metal highway song, driving engine-rev riff, handclap accents, punchy drums, bright clean vocal, and a wide chorus; new lyrics follow a traveler using strange roadside sculptures as mile markers toward a fresh start."
52,"Here's a Quarter (Call Someone Who Cares)","Travis Tritt","02:32","Title/artist-informed creative inference: country breakup retort","Title/artist-informed creative inference: sarcastic and wounded","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: brisk mid-tempo feel; no measured BPM","Hard-rock metal with clipped verse chords, phone-tone guitar motif, and a dismissive chorus.","Title/artist-informed creative inference: setting boundaries after an insincere return; write entirely new lyrics.","Original hard-rock metal breakup retort, brisk mid-tempo clipped chords, a guitar motif shaped like a disconnected call, dry vocal, and a firm chorus; fresh lyrics reject a late apology by setting clear boundaries without copied catchphrases."
53,"Ocean Front Property","George Strait","03:08","Title/artist-informed creative inference: traditional country wordplay ballad","Title/artist-informed creative inference: dryly heartbroken","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Progressive metal with deceptive major-key opening, shifting meters, and a darker reveal chorus.","Title/artist-informed creative inference: denial exposed through an impossible sales pitch; write entirely new lyrics.","Original progressive-metal song built around an impossible promise, mid-tempo feel, deceptively bright clean opening, subtle meter shifts, darker distorted reveal chorus, and precise clean vocal; write a new metaphor for denial that is not real estate."
54,"Straight Tequila Night","John Anderson","02:53","Title/artist-informed creative inference: country drinking-heartbreak song","Title/artist-informed creative inference: tense and cautionary","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Blues-doom metal with glassy clean guitar, heavy chorus chords, and a warning refrain.","Title/artist-informed creative inference: a familiar trigger reopening buried heartbreak; write entirely new lyrics.","Original blues-doom metal warning tale, slow-to-mid feel, glassy clean guitar, bass-heavy chorus chords, low vocal, and one aching solo; new lyrics describe a specific harmless cue that reopens an old wound and changes the room's mood."
55,"Take This Job and Shove It","Johnny Paycheck","02:36","Title/artist-informed creative inference: working-class country protest song","Title/artist-informed creative inference: fed-up and liberating","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Industrial metal with factory percussion, descending chugs, and an explosive resignation chorus.","Title/artist-informed creative inference: reclaiming dignity from an exploitative workplace; write entirely new lyrics.","Original industrial-metal resignation anthem, brisk factory percussion, descending chugs, tense spoken verses, and an explosive clean chorus; fresh lyrics document unsafe shortcuts, withheld respect, and a worker leaving on their own terms."
56,"You've Got to Stand for Something","Aaron Tippin","03:02","Title/artist-informed creative inference: values-driven country anthem","Title/artist-informed creative inference: resolute and earnest","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Traditional heavy metal with marching drums, rising harmonies, and a declarative chorus.","Title/artist-informed creative inference: choosing principles under social pressure; write entirely new lyrics.","Original traditional heavy-metal values anthem, driving mid-tempo march, ringing rhythm guitars, rising harmony leads, clear commanding vocal, and a declarative chorus; new lyrics show one concrete moment when convenience conflicts with conscience."
57,"Check Yes Or No","George Strait","03:20","Title/artist-informed creative inference: tender country romance","Title/artist-informed creative inference: innocent and warmly nostalgic","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: gentle mid-tempo feel; no measured BPM","Melodic metal power ballad with music-box clean guitar, restrained drums, and a soaring adult-memory chorus.","Title/artist-informed creative inference: a simple childhood gesture becoming lasting affection; write entirely new lyrics.","Original melodic-metal romance, gentle mid-tempo feel, music-box clean guitar, restrained drums, warm clean vocal, and a soaring chorus; create a new childhood object or ritual that quietly survives into an adult relationship."
58,"Forty Hour Week (For a Livin')","Alabama","03:22","Title/artist-informed creative inference: working-class country tribute","Title/artist-informed creative inference: respectful and uplifting","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: steady mid-tempo feel; no measured BPM","Industrial groove metal with tool-like percussion, broad clean chorus, and a melodic shift-change bridge.","Title/artist-informed creative inference: honoring unseen labor across practical trades; write entirely new lyrics.","Original industrial groove-metal labor tribute, steady mid-tempo machine pulse, tool-like percussion, thick guitars, broad clean chorus, and melodic shift-change bridge; new lyrics spotlight several overlooked workers through concrete daily details."
59,"All My Ex's Live In Texas","George Strait","03:20","Title/artist-informed creative inference: western-swing country breakup song","Title/artist-informed creative inference: wry and evasive","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk swing feel; no measured BPM","Swing-inflected speed metal with walking bass passages, sharp riff turns, and a runaway chorus.","Title/artist-informed creative inference: geographic escape from accumulated relationship history; write entirely new lyrics.","Original swing-inflected speed-metal escape song, brisk feel, walking-bass verse turns, sharp rhythm guitars, nimble clean vocal, and a runaway chorus; fresh lyrics map past relationships onto different transit lines in one city."
60,"Love Without End, Amen","George Strait","03:07","Title/artist-informed creative inference: multigenerational country family ballad","Title/artist-informed creative inference: tender and reassuring","Title/artist-informed creative inference: low to medium","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Symphonic metal ballad with piano-led verses, layered choirs, and a warm climactic refrain.","Title/artist-informed creative inference: enduring stewardship of a fire-damaged landscape through repeated practical restoration; write entirely new lyrics without family or generational framing.","Original symphonic-metal restoration anthem, slow-to-mid feel, piano-led verses, restrained strings, layered choir, and a warm climactic refrain; entirely new lyrics follow a volunteer crew returning season after season to revive a burned forest, framing lasting care as practical stewardship."
61,"I'm Gonna Hire A Wino To Decorate Our Home","David Frizzell","03:57","Title/artist-informed creative inference: domestic country dark comedy","Title/artist-informed creative inference: absurd and bittersweet","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Cabaret metal with piano stabs, crooked riffing, theatrical dialogue, and a dark comic chorus.","Title/artist-informed creative inference: reshaping a home to compete with a partner's habits; write entirely new lyrics.","Original cabaret-metal domestic satire, mid-tempo crooked riff, piano stabs, theatrical dialogue vocals, and dark comic chorus; invent a new exaggerated home renovation intended to lure an absent partner back from a harmless obsession."
62,"I Think I'll Just Stay Here And Drink","Merle Haggard","04:31","Title/artist-informed creative inference: outlaw-country drinking lament","Title/artist-informed creative inference: stubborn and numb","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: slow-to-mid groove; no measured BPM","Sludge-blues metal with repetitive low riff, weary vocal, and a solo that grows more dissonant.","Title/artist-informed creative inference: emotional avoidance and refusal to leave a familiar place; write entirely new lyrics.","Original sludge-blues metal portrait of avoidance, slow-to-mid groove, repetitive low riff, weary clean vocal, sparse drums, and a guitar solo that grows increasingly dissonant; new lyrics show time passing while the narrator refuses one necessary conversation."
63,"I Regret It All","Nolan Greyson","05:35","Title/artist-informed creative inference: modern dark rock ballad","Title/artist-informed creative inference: remorseful and expansive","Title/artist-informed creative inference: low building to high","Title/artist-informed creative inference: slow-feel; no measured BPM","Post-metal crescendo with fragile clean opening, layered guitars, and a long cathartic final movement.","Title/artist-informed creative inference: totalizing regret challenged by one possible act of repair; write entirely new lyrics.","Original post-metal remorse arc, slow-feel, fragile clean guitar and close vocal opening, layers added over five minutes, thunderous final movement, and unresolved last chord; new lyrics move from sweeping regret toward one specific act of repair."
64,"The System","Tom MacDonald","03:22","Title/artist-informed creative inference: confrontational rap-rock","Title/artist-informed creative inference: suspicious and defiant","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Industrial rap metal with mechanical drums, clipped verses, and a broad chorus focused on verifiable institutional pressure.","Title/artist-informed creative inference: questioning incentives and concentrated power; write entirely new, evidence-minded lyrics.","Original industrial rap-metal critique, driving mechanical drums, clipped low-guitar pattern, precise rhythmic verses, and a broad clean chorus; new lyrics examine one fictional institution through incentives and consequences rather than conspiracy claims or artist imitation."
65,"Prison Bound","Social Distortion","05:24","Title/artist-informed creative inference: punk-rock outlaw narrative","Title/artist-informed creative inference: fatalistic and defiant","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Hardcore-leaning heavy metal with downstroke riffs, gang accents, and a reflective half-time bridge.","Title/artist-informed creative inference: consequences closing in after repeated choices; write entirely new lyrics.","Original hardcore-leaning heavy-metal consequence story, driving mid-tempo downstrokes, raw clean vocal, gang accents, reflective half-time bridge, and a final unresolved refrain; fresh lyrics trace small choices that narrow a person's options."
66,"Not Broken","CortexUS","03:22","Title/artist-informed creative inference: modern alternative rock/metal","Title/artist-informed creative inference: resilient and tense","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Melodic metalcore variant A with tight verse chugs, clean resilience hook, and a compact breakdown.","Title/artist-informed creative inference: refusing a damaging label while acknowledging scars; write entirely new lyrics.","Original melodic metalcore resilience track, driving mid-tempo chugs, tense verse vocal, wide clean chorus, compact breakdown, and ascending final lead; new lyrics reject being defined by damage while admitting recovery is unfinished."
67,"Not Broken","CortexUS","03:22","Title/artist-informed creative inference: modern alternative rock/metal","Title/artist-informed creative inference: resilient and introspective","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Doomgaze variant B with blurred guitars, patient drums, and a luminous defiant chorus.","Title/artist-informed creative inference: quiet survival after pressure and isolation; write entirely new lyrics.","Original doomgaze survival song, slow-to-mid feel, blurred low guitars, patient drums, intimate clean vocal, and a luminous defiant chorus; fresh lyrics use repaired architecture as a metaphor for remaining whole, then drop to bass and voice before a wall-of-sound final refrain and long feedback fade."
68,"Dont Need a Word to Say","CortexUS","01:14","Title/artist-informed creative inference: short alternative-rock vignette","Title/artist-informed creative inference: intimate and urgent","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: brisk-feel; no measured BPM","One-minute post-hardcore burst with instrumental communication motif and no wasted intro.","Title/artist-informed creative inference: understanding communicated through actions rather than speech; write entirely new lyrics.","Original seventy-five-second post-hardcore vignette, immediate brisk riff, one concise verse, instrumental answer motif, explosive clean hook, and hard stop; new lyrics show two people communicating through practical actions rather than declarations."
69,"Fix you","CortexUS","04:03","Title/artist-informed creative inference: alternative-rock ballad","Title/artist-informed creative inference: compassionate but conflicted","Title/artist-informed creative inference: low building to high","Title/artist-informed creative inference: slow-feel; no measured BPM","Post-hardcore power ballad with clean ambient verses, forceful chorus, and a boundary-aware bridge.","Title/artist-informed creative inference: wanting to help without controlling another person; write entirely new lyrics.","Original post-hardcore power ballad, slow-feel, ambient clean verses, forceful distorted chorus, expressive vocal, and boundary-aware bridge; new lyrics distinguish offering support from trying to control someone else's healing."
70,"Broken toys","CortexUS","03:19","Title/artist-informed creative inference: dark alternative rock","Title/artist-informed creative inference: damaged and eerie","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Industrial metal with music-box fragments, serrated riffs, and a warped nursery-room atmosphere.","Title/artist-informed creative inference: discarded objects mirroring neglected people; write entirely new lyrics.","Original industrial-metal dark fable, mid-tempo serrated riff, detuned music-box fragments, metallic percussion, whisper-to-clean vocal arc, and warped chorus; new lyrics give abandoned objects distinct memories without quoting any existing story."
71,"Psycho Circus","CortexUS","03:36","Title/artist-informed creative inference: theatrical hard rock/metal","Title/artist-informed creative inference: manic and sinister","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Carnival metal with calliope-like lead, stop-start riffs, and a ringmaster breakdown.","Title/artist-informed creative inference: spectacle masking manipulation and fear; write entirely new lyrics.","Original carnival metal nightmare, driving stop-start riffs, calliope-like guitar lead, stomping drums, theatrical ringmaster vocal, and a breakdown where the audience sees behind the spectacle; entirely new lyrics and melody."
72,"Feed me","CortexUS","03:09","Title/artist-informed creative inference: aggressive alternative metal","Title/artist-informed creative inference: hungry and confrontational","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Groove metal with lurching bass, syncopated chugs, and a chorus that reframes appetite as ambition.","Title/artist-informed creative inference: insatiable need for attention, power, or meaning; write entirely new lyrics.","Original groove-metal song about insatiable ambition, driving mid-tempo syncopated chugs, lurching bass, terse verses, and a hook that turns appetite into self-interrogation; use new imagery and no borrowed lyric."
73,"Devil Dogs on the Hunt","E Warrior Shaman","03:23","Title/artist-informed creative inference: martial folk-metal anthem","Title/artist-informed creative inference: fierce and cinematic","Title/artist-informed creative inference: high","Title/artist-informed creative inference: fast-feel; no measured BPM","Symphonic death metal with marching toms, tremolo riffs, brass-like guitar layers, and a disciplined chorus.","Title/artist-informed creative inference: a mythic hunting pack pursuing a supernatural threat; write entirely new lyrics.","Original symphonic death-metal hunt, fast-feel, marching toms, tremolo riffs, brass-like guitar layers, harsh verses and disciplined clean chorus; new fantasy lyrics follow a guardian pack tracking a supernatural predator through ruined terrain."
74,"Rattle the Bones","Shunned at a Funeral","04:27","Title/artist-informed creative inference: gothic hard rock/metal","Title/artist-informed creative inference: ominous and ritualistic","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: heavy mid-tempo feel; no measured BPM","Ritual doom metal with bone-dry percussion, droning guitars, and a slow chant-to-roar build.","Title/artist-informed creative inference: awakening buried memory through a forbidden ritual; write entirely new lyrics.","Original ritual doom-metal track, heavy mid-tempo pulse, bone-dry percussion, droning low guitars, chant-to-roar vocal build, and a tolling bridge; new lyrics describe a ceremony that awakens inherited memories rather than literal violence."
75,"Dead Mans Throttle","Rebel Road Music","03:07","Title/artist-informed creative inference: outlaw biker rock","Title/artist-informed creative inference: reckless and haunted","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Biker groove metal with revving riff, double-kick surges, and a cautionary bridge.","Title/artist-informed creative inference: inheriting a dangerous machine and its unfinished history; write entirely new lyrics.","Original biker groove-metal ghost story, driving revving riff, double-kick surges, gritty vocal, broad road chorus, and cautionary bridge; fresh lyrics follow someone who inherits a machine carrying the weight of its previous owner's choices."
76,"Outlaw","Shunned at a Funeral","05:28","Title/artist-informed creative inference: dark western hard rock/metal","Title/artist-informed creative inference: isolated and defiant","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: slow-to-mid gallop feel; no measured BPM","Western doom metal with spacious intro, heavy gallop, harmonica-like lead tone, and a long final ride-out.","Title/artist-informed creative inference: exile, self-made rules, and the cost of refusing community; write entirely new lyrics.","Original western doom-metal exile story, spacious clean intro, slow-to-mid heavy gallop, harmonica-like guitar tone, low vocal, and long instrumental ride-out; new lyrics examine the loneliness behind self-made rules."
77,"Back In Black","Echoes Of Asgard","04:28","Title/artist-informed creative inference: anthemic hard rock","Title/artist-informed creative inference: triumphant and darkly stylish","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Traditional heavy metal with an entirely new riff, thunderous drums, twin leads, and a return-from-ruin theme.","Title/artist-informed creative inference: reappearance after loss with renewed confidence; write entirely new lyrics.","Original traditional heavy-metal return anthem, driving mid-tempo pulse, wholly new angular riff, thunderous drums, twin-lead bridge, and commanding clean chorus; fresh lyrics portray emerging from ruin in dark ceremonial clothing, without recreating any known song."
78,"When They Come for Me","Shunned at a Funeral","04:19","Title/artist-informed creative inference: dark hard rock/metal","Title/artist-informed creative inference: hunted and resolute","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Metalcore with urgent verse riff, surveillance-like electronic pulse, and a defiant breakdown.","Title/artist-informed creative inference: preparing to face consequences or pursuers without surrendering identity; write entirely new lyrics.","Original metalcore pursuit song, driving urgent riff, subtle surveillance-like electronic pulse, alternating tense and clean vocals, and a defiant breakdown; new lyrics focus on preserving integrity when unnamed authorities close in."
79,"No Matter Who You Are","Mezcaleros","03:58","Title/artist-informed creative inference: desert roots rock","Title/artist-informed creative inference: inclusive and searching","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo groove; no measured BPM","Alternative desert metal with hand-percussion texture, open riffing, and a universal chorus.","Title/artist-informed creative inference: shared vulnerability beneath social labels; write entirely new lyrics.","Original alternative desert-metal song, mid-tempo open riff, hand-percussion texture beneath heavy drums, warm rough vocal, and universal clean chorus; fresh lyrics reveal one common fear shared by strangers with different lives."
80,"Give Me Rest","Shunned at a Funeral","05:37","Title/artist-informed creative inference: dark metal ballad","Title/artist-informed creative inference: exhausted and pleading","Title/artist-informed creative inference: low building to high","Title/artist-informed creative inference: slow-feel; no measured BPM","Funeral doom with sparse opening, vast sustained chords, and a final release into silence.","Title/artist-informed creative inference: seeking peace from relentless internal pressure; write entirely new lyrics.","Original funeral-doom plea, slow-feel, sparse single-note opening, vast sustained chords, deep clean vocal, restrained cymbals, and a final release into silence; new lyrics ask for one quiet night away from an endlessly turning mind."
81,"Blinded","Parker Barrow","03:38","Title/artist-informed creative inference: bluesy hard rock","Title/artist-informed creative inference: disoriented and urgent","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Progressive groove metal with flashing rhythmic accents, shifting perspective, and a clear-sighted final chorus.","Title/artist-informed creative inference: attraction or certainty obscuring warning signs; write entirely new lyrics.","Original progressive groove-metal wake-up song, driving riff with flashing rhythmic accents, tense clean vocal, shifting verse perspective, and a clear-sighted final chorus; fresh lyrics track the moment certainty gives way to recognizing ignored evidence."
82,"Cowgirls from Heaven","Shunned at a Funeral","04:42","Title/artist-informed creative inference: gothic western rock/metal","Title/artist-informed creative inference: celestial and windswept","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: galloping mid-tempo feel; no measured BPM","Gothic western metal with reverbed clean guitar, galloping chorus, choir layers, and soaring leads.","Title/artist-informed creative inference: supernatural riders bringing rescue or judgment; write entirely new lyrics.","Original gothic western-metal vision, reverbed clean-guitar opening, galloping mid-tempo chorus, layered choir, soaring twin leads, and cinematic drums; new lyrics imagine celestial riders arriving at a drought-stricken town with an ambiguous warning."
83,"PUPPET MASTER","Lily Löwe","02:43","Title/artist-informed creative inference: modern theatrical metal","Title/artist-informed creative inference: controlling and sinister","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Industrial metal with string-pluck synths, jerking riffs, and a chorus that cuts the controlling strings.","Title/artist-informed creative inference: manipulation, performance, and reclaiming agency; write entirely new lyrics.","Original industrial-metal escape from manipulation, brisk-feel, string-pluck synth motif, jerking guitar riff, theatrical verse vocal, and explosive chorus where the controlled character severs the mechanism; entirely new lyric and melody."
84,"Dust & Thunder","Shunned at a Funeral","04:32","Title/artist-informed creative inference: western doom/hard metal","Title/artist-informed creative inference: stormy and epic","Title/artist-informed creative inference: high","Title/artist-informed creative inference: heavy mid-tempo feel; no measured BPM","Western doom metal with sandstorm ambience, thunderous toms, low riffs, and a lightning-fast solo.","Title/artist-informed creative inference: crossing exposed land as a storm closes in; write entirely new lyrics.","Original western doom-metal storm crossing, heavy mid-tempo low riff, sandstorm ambience, thunderous toms, low clean vocal, and one lightning-fast solo; fresh lyrics follow travelers deciding whether to shelter or outrun the weather."
85,"Wellerman","Eldruna","02:03","Title/artist-informed creative inference: sea-shanty folk song","Title/artist-informed creative inference: communal and adventurous","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Pirate folk metal with stomping drums, concertina-like lead, gang chorus, and an original maritime story.","Title/artist-informed creative inference: crew endurance and awaited relief at sea; write entirely new lyrics rather than reusing traditional verses.","Original pirate folk-metal miniature, brisk stomp, concertina-like guitar lead, heavy rhythm guitars, gang chorus, and a quick solo; write a wholly new maritime story about a supply ship racing a storm, with no traditional or existing lyric lines."
86,"No Rush","Shunned at a Funeral","05:16","Title/artist-informed creative inference: slow-burn dark rock/metal","Title/artist-informed creative inference: patient and ominous","Title/artist-informed creative inference: low building to high","Title/artist-informed creative inference: slow-feel; no measured BPM","Post-metal with patient repetition, widening drum pattern, and a delayed heavy payoff.","Title/artist-informed creative inference: deliberate movement as resistance to outside pressure; write entirely new lyrics.","Original post-metal slow burn, patient repeating clean figure, drums widening over several minutes, low restrained vocal, and delayed heavy payoff; new lyrics frame moving deliberately as a refusal to let urgency dictate every choice."
87,"TEST ME NOW","NOAPOLOGY","03:41","Title/artist-informed creative inference: modern hard rock/metal challenge anthem","Title/artist-informed creative inference: confrontational and confident","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Modern metalcore with precision chugs, challenge-response vocals, and a test-of-strength breakdown.","Title/artist-informed creative inference: demanding proof under pressure and refusing empty judgment; write entirely new lyrics.","Original modern metalcore challenge anthem, driving precision chugs, challenge-response vocals, sharp clean chorus, and a test-of-strength breakdown; fresh lyrics invite fair scrutiny while rejecting anonymous posturing and empty accusations."
88,"The Desert Lamb","Shunned at a Funeral","03:40","Title/artist-informed creative inference: gothic desert rock/metal","Title/artist-informed creative inference: vulnerable and prophetic","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Desert doom with sparse percussion, droning riff, and a protective chorus around a fragile traveler.","Title/artist-informed creative inference: innocence crossing a hostile landscape and becoming a symbol; write entirely new lyrics.","Original desert-doom parable, slow-to-mid feel, sparse hand percussion, droning low riff, solemn clean vocal, and protective chorus; new lyrics follow a fragile traveler whose calm presence changes a hardened caravan."
89,"Hourglass","The SKBs","03:18","Title/artist-informed creative inference: alternative rock","Title/artist-informed creative inference: anxious and reflective","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Progressive alternative metal with ticking guitar ostinato, shifting accents, and a suspended final measure.","Title/artist-informed creative inference: finite time, delayed decisions, and irreversible change; write entirely new lyrics.","Original progressive alternative-metal time study, mid-tempo ticking guitar ostinato, shifting accents, controlled clean vocal, and a suspended final measure; new lyrics focus on one delayed decision becoming irreversible as small signs accumulate."
90,"Lay the Hammer Down (Madison Redux)","Shunned at a Funeral","04:37","Title/artist-informed creative inference: heavy western metal","Title/artist-informed creative inference: forceful and decisive","Title/artist-informed creative inference: high","Title/artist-informed creative inference: heavy driving feel; no measured BPM","Groove metal with hammer-on-anvil percussion, crushing main riff, and a decisive double-time finale.","Title/artist-informed creative inference: ending indecision through one irreversible commitment; write entirely new lyrics.","Original groove-metal decision anthem, heavy driving riff, hammer-on-anvil percussion, commanding clean vocal, crushing chorus, and decisive double-time finale; fresh lyrics build toward committing to a difficult repair project after years of delay."
91,"Dust on my boots","Ron Broadie","03:58","Title/artist-informed creative inference: country-rock road song","Title/artist-informed creative inference: grounded and nostalgic","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Southern metal with boot-stomp rhythm, dry guitar tone, and a home-soil chorus.","Title/artist-informed creative inference: travel leaving physical traces and strengthening identity; write entirely new lyrics.","Original southern-metal travel song, driving mid-tempo boot-stomp rhythm, dry guitar tone, warm rough vocal, and a home-soil chorus; new lyrics catalog the harmless traces carried back from several landscapes after a long route."
92,"I Want Something Heavy","Shunned at a Funeral","04:22","Title/artist-informed creative inference: dark hard rock/metal","Title/artist-informed creative inference: craving and impatient","Title/artist-informed creative inference: high","Title/artist-informed creative inference: heavy mid-tempo feel; no measured BPM","Sludge-groove metal with massive bass, descending riff, and a chorus that treats weight as emotional substance.","Title/artist-informed creative inference: rejecting shallow distraction in favor of meaningful intensity; write entirely new lyrics.","Original sludge-groove metal demand for substance, heavy mid-tempo descending riff, massive bass, forceful clean vocal, and a chorus that equates weight with meaning; fresh lyrics reject disposable noise and ask for work that leaves a mark."
93,"Silent Running","Huckleberry Road","06:55","Title/artist-informed creative inference: extended roots-rock road ballad","Title/artist-informed creative inference: secretive and expansive","Title/artist-informed creative inference: medium building to high","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Atmospheric progressive metal with quiet engine pulse, long instrumental middle, and a panoramic final chorus.","Title/artist-informed creative inference: traveling unnoticed toward a difficult destination; write entirely new lyrics.","Original atmospheric progressive-metal night drive, slow-to-mid engine-like pulse, hushed clean verses, long instrumental middle with layered leads, and panoramic final chorus; new lyrics follow a covert journey undertaken to deliver one necessary truth."
94,"Have You Not Read","Shunned at a Funeral","04:42","Title/artist-informed creative inference: faith-themed dark rock/metal","Title/artist-informed creative inference: admonishing and searching","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: heavy mid-tempo feel; no measured BPM","Epic heavy metal with spoken-question opening, rising riffs, and a choir-backed chorus without quoting scripture.","Title/artist-informed creative inference: challenging selective reading and asking for lived understanding; write entirely new lyrics without sacred-text quotation.","Original epic heavy-metal inquiry, heavy mid-tempo rise, spoken-question opening, ringing guitar layers, choir-backed chorus, and reflective bridge; new lyrics challenge someone to understand a principle through action, with no scripture or existing text quoted."
95,"Decide","Sybilanta","03:38","Title/artist-informed creative inference: modern alternative rock","Title/artist-informed creative inference: tense and impatient","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Mathy metalcore with alternating meters, clipped vocal phrases, and a straight-time release chorus.","Title/artist-informed creative inference: paralysis between two futures and the cost of delay; write entirely new lyrics.","Original mathy metalcore decision crisis, brisk alternating-meter verse riffs, clipped vocal phrases, straight-time clean release chorus, and one decisive final hit; new lyrics compare two plausible futures while the present window closes."
96,"Don't Be Fair","Shunned at a Funeral","03:41","Title/artist-informed creative inference: dark country-metal song","Title/artist-informed creative inference: bitter and provocative","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Groove metal with crooked riff accents, argumentative verses, and a chorus exposing unequal rules.","Title/artist-informed creative inference: frustration with rules applied unevenly; write entirely new lyrics.","Original groove-metal argument about unequal rules, driving mid-tempo riff with crooked accents, tense conversational verses, forceful clean chorus, and a bridge that reveals the narrator's own bias; use entirely new language."
97,"Heaven's Got A Hold On Me","Haley Jones","02:46","Title/artist-informed creative inference: country faith ballad","Title/artist-informed creative inference: hopeful and surrendered","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: gentle mid-tempo feel; no measured BPM","Symphonic melodic metal with clean piano, ascending guitars, and an uplifting choir-backed chorus.","Title/artist-informed creative inference: being guided toward hope after uncertainty; write entirely new lyrics.","Original symphonic melodic-metal hope song, gentle mid-tempo piano opening, ascending guitars, clear lead vocal, uplifting choir-backed chorus, and concise soaring solo; fresh lyrics describe feeling guided toward service after a long period of drift."
